ten_san_pham,thuong_hieu,cpu,ram_gb,o_cung_gb,vga,gia_ban,cpu_NAN,ram_gb_NAN,o_cung_gb_NAN,vga_NAN
Laptop Acer Aspire 7 A715-59G-55MD (i5-13420H/ GeForce RTX™ 3050/ 16GB/ 512GB/ Win 11 Home SL),Acer,Core i5,16.0,512.0,NVIDIA Card Rời,28990000,0,0,0,0
Laptop Lenovo LOQ 15ARP10E - 83S0006QVN (Ryzen 7 7735HS/ GeForce RTX™ 3050/ 16GB/ 512GB/ Win 11 Home SL),Lenovo,Ryzen 7,16.0,512.0,NVIDIA Card Rời,29490000,0,0,0,0
Laptop Dell 14 DC14250 DC4C5386W (Core 5 120U/ 16GB/ 512GB/ Win 11 Home SL + Office),Dell,Core i5,16.0,512.0,Onboard,19690000,0,0,0,0
Laptop Asus TUF Gaming F16 FX608JH-RV131W (i5-13450HX/ GeForce RTX™ 5050/ 32GB/ 512GB/ Win 11 Home),Asus,Core i5,32.0,512.0,NVIDIA Card Rời,32990000,0,0,0,0
Laptop Asus ROG Zephyrus G14 GA403WW-QS145WS (Ryzen AI 9 HX 370/ GeForce RTX™ 5080/ 32GB/ 2TB/ Win 11 Home + Office + Microsoft),Asus,Ryzen 9,32.0,2048.0,NVIDIA Card Rời,84990000,0,0,0,0
Laptop Lenovo LOQ 15ARP10E - 83S0004FVN (Ryzen 7 7735HS/ GeForce RTX™ 4050/ 16GB/ 512GB/ Win 11 Home SL),Lenovo,Ryzen 7,16.0,512.0,NVIDIA Card Rời,28990000,0,0,0,0
Laptop Acer Nitro Lite 16 NL16-71G-71FN (i7-13620H/ GeForce RTX™ 4050/ 16GB/ 512GB/ Win 11 Home SL),Acer,Core i7,16.0,512.0,NVIDIA Card Rời,33990000,0,0,0,0
Laptop Acer Swift Edge 14 AI SFE14-51T-52KD (Ultra 5-228V/ 32GB/ 512GB/ Win 11 Home SL),Acer,Core Ultra 5,32.0,512.0,Onboard,42990000,0,0,0,0
Laptop Lenovo Ideapad Slim 5 14AKP10 - 83HX00ABVN (Ryzen AI 5 330/ 16GB/ 512GB/ Win 11 Home SL),Lenovo,Ryzen 5,16.0,512.0,AMD Card Rời,23490000,0,0,0,0
Laptop Lenovo IdeaPad Slim 3 15ARP10 - 83K700EWVN (Ryzen 7 7735HS/ 16GB/ 512GB/ Win 11 Home SL),Lenovo,Ryzen 7,16.0,512.0,AMD Card Rời,21490000,0,0,0,0
Laptop Lenovo IdeaPad Slim 3 15ARP10 - 83K700EVVN (R7 7735HS/ 24GB/ 512GB/ Win 11 Home SL),Lenovo,Ryzen 7,24.0,512.0,AMD Card Rời,21990000,0,0,0,0
Laptop Dell Pro 14 PC14250 - 42LTU7PC14250 (Ultra 7-255U/ 16GB/ 512GB/ Win 11 Pro),Dell,Core Ultra 7,16.0,512.0,Onboard,35390000,0,0,0,0
Laptop HP Victus 15 fa2732TX - B85LPPA (i5-13420H/ GeForce RTX™ 4050/ 16GB/ 512GB/ Win 11 Home SL),Hp,Core i5,16.0,512.0,NVIDIA Card Rời,26790000,0,0,0,0
Laptop HP OmniBook 5 Flip 14-fp0057TU - BZ7Q6PA (Core 5 120U/ 16GB/ 512GB/ Win 11 Home SL + Office),Hp,Core i5,16.0,512.0,Onboard,26590000,0,0,0,0
Laptop HP OmniBook 5 Flip 14-fp0055TU - BZ7Q4PA (Core 7 150U/ 24GB/ 512GB/ Win 11 Home SL + Office),Hp,Core i7,24.0,512.0,Onboard,30790000,0,0,0,0
Laptop HP 14 ep1179TU - C89ZSPA (Core 5 120U/ 16GB/ 512GB/ Win 11 Home SL),Hp,Core i5,16.0,512.0,Onboard,18690000,0,0,0,0
Laptop HP 15-fd0823TU - C81NMPA (i7-1355U/ 16GB/ 512GB/ Win 11 Home),Hp,Core i7,16.0,512.0,Onboard,22090000,0,0,0,0
Laptop Acer Nitro ProPanel ANV16S-41-R337 (Ryzen 7-260/ GeForce RTX™ 5050/ 16GB/ 1TB/ Win 11 Home SL),Acer,Ryzen 3,16.0,1024.0,NVIDIA Card Rời,43990000,0,0,0,0
Laptop Gigabyte Gaming A16 CTHH3VN893SH (i5-13420H/ GeForce RTX™ 5050/ 16GB/ 512GB/ Win 11 Home SL),Gigabyte,Core i5,16.0,512.0,NVIDIA Card Rời,31490000,0,0,0,0
Laptop Gigabyte AERO-X16 X161VH93VNC64AH (Ryzen AI 7 350/ GeForce RTX™ 5060/ 32GB/ 1TB/ Win 11 Home SL),Gigabyte,Ryzen 7,32.0,1024.0,NVIDIA Card Rời,45990000,0,0,0,0
