ten_san_pham,thuong_hieu,cpu,ram_gb,o_cung_gb,vga,gia_ban
Laptop Lenovo IdeaPad Slim 3 15ARP10 - 83K700EVVN (R7 7735HS/ 24GB/ 512GB/ Win 11 Home SL),Lenovo,Ryzen 7,24,512,AMD Card Rời,21990000
Laptop Dell Pro 14 PC14250 - 42LTU7PC14250 (Ultra 7-255U/ 16GB/ 512GB/ Win 11 Pro),Dell,Core Ultra 7,16,512,Onboard,35390000
Laptop HP Victus 15 fa2732TX - B85LPPA (i5-13420H/ GeForce RTX™ 4050/ 16GB/ 512GB/ Win 11 Home SL),Hp,Core i5,16,512,NVIDIA Card Rời,26790000
Laptop HP OmniBook 5 Flip 14-fp0057TU - BZ7Q6PA (Core 5 120U/ 16GB/ 512GB/ Win 11 Home SL + Office),Hp,Core i5,16,512,Onboard,26590000
Laptop HP OmniBook 5 Flip 14-fp0055TU - BZ7Q4PA (Core 7 150U/ 24GB/ 512GB/ Win 11 Home SL + Office),Hp,Core i7,24,512,Onboard,30790000
Laptop HP 14 ep1179TU - C89ZSPA (Core 5 120U/ 16GB/ 512GB/ Win 11 Home SL),Hp,Core i5,16,512,Onboard,18690000
Laptop HP 15-fd0823TU - C81NMPA (i7-1355U/ 16GB/ 512GB/ Win 11 Home),Hp,Core i7,16,512,Onboard,22090000
Laptop Acer Nitro ProPanel ANV16S-41-R337 (Ryzen 7-260/ GeForce RTX™ 5050/ 16GB/ 1TB/ Win 11 Home SL),Acer,Ryzen 3,16,1024,NVIDIA Card Rời,43990000
Laptop Gigabyte Gaming A16 CTHH3VN893SH (i5-13420H/ GeForce RTX™ 5050/ 16GB/ 512GB/ Win 11 Home SL),Gigabyte,Core i5,16,512,NVIDIA Card Rời,31490000
Laptop Gigabyte AERO-X16 X161VH93VNC64AH (Ryzen AI 7 350/ GeForce RTX™ 5060/ 32GB/ 1TB/ Win 11 Home SL),Gigabyte,Ryzen 7,32,1024,NVIDIA Card Rời,45990000
Laptop Gigabyte Gaming A16 CTHI3VN893SH (i7-13620H/ GeForce RTX™ 5050/ 16GB/ 512GB/ Win 11 Home SL),Gigabyte,Core i3,16,512,NVIDIA Card Rời,33990000
Laptop Gigabyte Gaming A16 CWHI3VNC94SH (i7-13620H/ GeForce RTX™ 5070/ 16GB/ 1TB/ Win 11 Home SL),Gigabyte,Core i3,16,1024,NVIDIA Card Rời,43990000
Laptop Gigabyte Gaming A16 CVHI3VNC94SH (i7-13620H/ GeForce RTX™ 5060/ 16GB/ 1TB/ Win 11 Home SL),Gigabyte,Core i3,16,1024,NVIDIA Card Rời,38490000
Laptop HP 14 ep1178TU - C89ZRPA (Core 5 120U/ 16GB/ 1TB/ Win 11 Home SL),Hp,Core i5,16,1024,Onboard,19690000
Laptop HP 14 ep1137TU - C2CY8PA (Ultra 7-155H/ 16GB/ 512GB/ Win 11 Home SL),Hp,Core Ultra 7,16,512,Onboard,24590000
Laptop Msi Cyborg 15 A13UC-2088VN (i5-13420H/ GeForce RTX™ 3050/ 16GB/ 512GB/ Win 11 Home),Msi,Core i5,16,512,NVIDIA Card Rời,28690000
Laptop Msi Cyborg 15 B13WFKG-658VN (Core i7-13620H/ GeForce RTX™ 5060/ 16GB/ 1TB/ Win 11 Home),Msi,Core i7,16,1024,NVIDIA Card Rời,40490000
Laptop Msi Cyborg 15 A13VEK-2089VN (Core i7-13620H/ GeForce RTX™ 4050/ 16GB/ 512GB/ Win 11 Home),Msi,Core i7,16,512,NVIDIA Card Rời,33990000
Laptop Msi Cyborg 15 B13WEKG-676VN (i5-13420H/ GeForce RTX™ 5050/ 16GB/ 512GB/ Win 11 Home),Msi,Core i5,16,512,NVIDIA Card Rời,37490000
Laptop Dell Pro 14 Plus PB14250-235U-16512W (Ultra 5-235U/ 16GB/ 512GB/ Win 11 Home SL),Dell,Core Ultra 5,16,512,Onboard,34990000
Laptop Lenovo Legion 5 15IRX10 - 83LY00HRVN (i7-13650HX/ GeForce RTX™ 5050/ 16GB/ 512GB/ Win 11 Home SL + Office),Lenovo,Core i7,16,512,NVIDIA Card Rời,40990000
Laptop Acer Gaming Nitro V 15 - ANV15-41-R732 (Ryzen 5 6600H/ GeForce RTX™ 4050/ 16GB/ 512GB/ Win 11 Home SL),Acer,Ryzen 5,16,512,NVIDIA Card Rời,28990000
Laptop Asus TUF Gaming F16 FX607VJB-RL151W (Core 5 210H/ GeForce RTX™ 3050/ 16GB/ 512GB/ Win 11 Home),Asus,Core i5,16,512,NVIDIA Card Rời,24990000
Laptop HP 15-fc0656AU - C81NHPA (Ryzen 5 7430U/ 16GB/ 512GB/ Win 11 Home),Hp,Ryzen 5,16,512,AMD Card Rời,16090000
Laptop HP Elitebook X Flip G1i - B9FN2PT (Ultra 7-258V/ 32GB/ 1TB/ Windows 11 Pro),Hp,Core Ultra 7,32,1024,Onboard,57990000
Laptop HP ProBook 4 G1i - BQ5B4PT (Ultra 5-225H/ 16GB/ 512GB/ Win 11 Home SL),Hp,Core Ultra 5,16,512,Onboard,28990000
Laptop HP OmniBook 7 16-az0038TU - C2CX1PA (Core 5 210H/ 24GB/ 512GB/ Win 11 Home SL + Office),Hp,Core i5,24,512,Onboard,27590000
Laptop HP EliteBook 6 G1i - BQ9N5PT (Ultra 7-265U/ 16GB/ 512GB/ Win 11 Pro),Hp,Core Ultra 7,16,512,Onboard,40290000
Laptop HP EliteBook 6 G1i - BQ9N0PT (Ultra 5-235U/ 16GB/ 512GB/ Win 11 Pro),Hp,Core Ultra 5,16,512,Onboard,34690000
Laptop Msi Cyborg 15 A13UC-2082VN (i7-13620H/ GeForce RTX™ 3050/ 16GB/ 512GB/ Win 11 Home SEA),Msi,Core i7,16,512,NVIDIA Card Rời,30690000
MacBook Pro M5 14 inch 2025 (10 CPU/ 10 GPU/ 16GB/ 1TB),Apple,Không rõ,16,1024,Apple GPU,46899000
MacBook Pro M5 14 inch 2025 (10 CPU/ 10 GPU/ 16GB/ 512GB),Apple,Không rõ,16,512,Apple GPU,41999000
MacBook Pro M5 14 inch 2025 (10 CPU/ 10 GPU/ 24GB/ 1TB),Apple,Không rõ,24,1024,Apple GPU,51799000
Laptop Asus ROG Strix SCAR 18 G835LW-SA193W (Ultra 9 275HX/ GeForce RTX™ 5080/ 32GB/ 1TB/ Win 11 Home),Asus,Core Ultra 9,32,1024,NVIDIA Card Rời,88390000
Laptop HP OmniBook X Flip 14-fm0076TU - BZ7P6PA (Ultra 7-258V/ 32GB/ 512GB/ Win 11 Home SL + Office),Hp,Core Ultra 7,32,512,Onboard,37390000
Laptop HP OmniBook X Flip 14-fk0092AU - BZ7P5PA (Ryzen AI 5 340/ 16GB/ 512GB/ Win 11 Home SL + Office),Hp,Ryzen 5,16,512,AMD Card Rời,28690000
Laptop HP OmniBook 5 AI 16-af1052TU - C1MN6PA (Ultra 7-255U/ 32GB/ 512GB/ Win 11 Home SL + Office),Hp,Core Ultra 7,32,512,Onboard,31390000
Laptop HP OmniBook 5 AI 16-af1054TU - C1MN8PA (Ultra 7-255U/ 32GB/ 512GB/ Win 11 Home SL + Office),Hp,Core Ultra 7,32,512,Onboard,30590000
Laptop Dell 16 DC16250 - 71076092 (Core 5 120U/ 16GB/ 1TB/ Win 11 Home + Office + Microsoft),Dell,Core i5,16,1024,Onboard,25290000
Laptop Dell 16 Plus DB16250 - DB6U5387W1 (Ultra 5-226V/ 16GB/ 1TB/ Win 11 Home + Office + Microsoft),Dell,Core Ultra 5,16,1024,Onboard,30990000
Laptop Dell 16 DC16251 - DC6C7557W1 (Core 7 150U/ GeForce MX570A/ 16GB/ 1TB/ Win 11 Home + Office + Microsoft),Dell,Core i7,16,1024,Onboard,29990000
Laptop Dell 15 DC15250 - DC5I7748W1 (i7-1355U/ 16GB/ 512GB/ Win 11 Home SL + Office),Dell,Core i7,16,512,Onboard,21390000
Laptop Dell 16 DC16250 - C7U161W11BLU (Core 7 150U/ 16GB/ 1TB/ Win 11 Home + Office + Microsoft),Dell,Core i7,16,1024,Onboard,26990000
Laptop Dell 15 DC15250 - i7U161W11SLU (i7-1355U/ 16GB/ 1TB/ Win 11 Home SL + Office),Dell,Core i7,16,1024,Onboard,24490000
Laptop Acer Aspire 16 AI A16-71M-71U7 (Ultra 7-155H/ 16GB/ 512GB/ Win 11 Home SL),Acer,Core Ultra 7,16,512,Onboard,22590000
Laptop Lenovo Legion 5 15IRX10 - 83LY00HQVN (i7-13650HX/ GeForce RTX™ 5060/ 16GB/ 512GB/ Win 11 Home SL + Office),Lenovo,Core i7,16,512,NVIDIA Card Rời,45990000
Laptop Lenovo LOQ 15IRX10 - 83JE00PEVN (i7-13650HX/ GeForce RTX™ 5050/ 16GB/ 512GB/ Win 11 Home),Lenovo,Core i7,16,512,NVIDIA Card Rời,38990000
Laptop Msi Modern 15 F13MG-667VN_16G (i5-1334U/ 16GB/ 512GB/ Win 11 Home SL),Msi,Core i5,16,512,Onboard,18990000
