ten_san_pham,thuong_hieu,cpu,ram_gb,o_cung_gb,vga,gia_ban
Latitude E5490 Core i7-8650U/8GB/ 256GB. Full HD,Khác,Core i7,8,256,Onboard,5900000
Dell Latitude 5310 i5-10310u/8GB/256GB/màn cảm ứng,Dell,Core i5,8,256,Onboard,5800000
Latitude E7290 Core i5-8250U/8GB/ 256GB. Đẹp 99%,Khác,Core i5,8,256,Onboard,4600000
ASUS Vivobook 15 i5-1240P 15 inch 16GB/512GB 95%,Asus,Core i5,16,512,Onboard,10000000
Dell Precision 5510 i7-6820HQ 15.6 inch 8GB/512gb,Dell,Core i7,8,512,Onboard,6800000
Nhượng lại Surface Pro 7 I5 8GB/256GB,Surface,Core i5,8,256,Onboard,7280000
Dell Inspiron 7559 i7 15.6 inch 8GB/256GB,Dell,Core i7,8,256,Onboard,3900000
Dell XPS 9310 i7-1195G7 13.4'' 32GB/512GB touch,Dell,Core i7,32,512,Onboard,15500000
MacBook Air 15 inch M2 2023 8GB 256GB P96% 55l 99%,Apple,Apple M-Series,8,256,Apple GPU,18800000
"Dell 3550 Core I5 Ram 8G SSD 128G+HDD 500G 15.6""",Dell,Core i5,8,128,Onboard,3200000
Laptop Acer Nitro R5-4600H/16GB/512GB GTX 1650,Acer,Ryzen 5,16,512,NVIDIA Card Rời,8500000
Dell Latitude 5521 i5 11500H 15.6 inch 8GB/256GB,Dell,Core i5,8,256,Onboard,9000000
Apple MacBook Air M1 8GB/256GB Bạc,Apple,Apple M-Series,8,256,Apple GPU,10500000
ASUS VIVOBOOK 14 FLIP ULTRA 7 256V 16G 1TB 14”X360,Asus,Core Ultra 7,16,1024,Onboard,21900000
Dell Latitude 5300 i7-8665U 13.3 inch 8GB/256GB,Dell,Core i7,8,256,Onboard,6800000
Lenovo 81X8 i3 Gen 11 12GB/256GB,Lenovo,Core i3,12,256,Onboard,5000000
✅Asus Vivobook X1404 i3-1215U/8GB/512GB sx 2024,Asus,Core i3,8,512,Onboard,7500000
Gaming ROG Strix G531GD i7 8G 512G GTX 1050 144hz,Khác,Core i7,8,512,NVIDIA Card Rời,9500000
✅HP Pavilion 14-CE i3-1005G1/8GB/256GB/14' FHD IPS,Hp,Core i3,8,256,Onboard,6200000
"DELL LATITUDE 5400 I5 8365U 8G 256G 14""FHD ZIN ĐẸP",Dell,Core i5,8,256,Onboard,5500000
DELL  cor I5  THẾ HỆ 10 MỚI 95% RAM 8G/ 256G,Dell,Core i5,8,256,Onboard,6000000
✅HP Pavilion 14-DV i5-1135G7/8GB/256GB/14' FHD IPS,Hp,Core i5,8,256,Onboard,8500000
"DELL LATITUDE 5300 I7 8665u 8G 256G 13.3""FHD ZIN",Dell,Core i7,8,256,Onboard,6100000
Dell 3400 I5 1135G7 Ram 8G SSD 512G VGA=Đồ Họa,Dell,Core i5,8,512,Onboard,7900000
Lenovo ThinkPad X1 Carbon i5 8250U 8GB/256GB,Lenovo,Core i5,8,256,Onboard,3800000
DELL LATITUDE 5520 I7 1165G7 8GB 256GB 15.6”FHD99%,Dell,Core i7,8,256,Onboard,8900000
Macbook Air 13 inch M1 8GB/512GB fullbox quốc tế,Apple,Apple M-Series,8,512,Apple GPU,11590000
"HP 15EG I5 1135G7 Ram 8G SSD 512G 15.6""FHD vỏ nhôm",Hp,Core i5,8,512,Onboard,8500000
Lenovo ThinkPad X390 i5-8365U 13.3 inch 8GB/256GB,Lenovo,Core i5,8,256,Onboard,3600000
Dell Precision 3571 I7 12800H 16G 256G FHD T600 4G,Dell,Core i7,16,256,Onboard,12900000
"DELL LATITUDE 5420 I7 1165G7 8GB 256GB 14""FHD ĐẸP",Dell,Core i7,8,256,Onboard,8100000
Dell Core i5 Gen 8 16GB/256GB Đen,Dell,Core i5,16,256,Onboard,3200000
Apple MacBook M1 Pro 16 inch 16GB/1TB,Apple,Apple M-Series,16,1024,Apple GPU,24000000
"Asus vivobook I5 1135G7 Ram 8G SSD 512G 14"" OLED",Asus,Core i5,8,512,Onboard,7900000
Dell Tablet 7400 2in1 / i7 / 16GB / 256GB,Dell,Core i7,16,256,Onboard,9900000
Microsoft Surface Laptop Go i5 12.4 inch 8GB/256GB,Surface,Core i5,8,256,Onboard,6500000
Dell Latitude 5420 i5-1145G7 14 inch 8GB/256GB Đẹp,Dell,Core i5,8,256,Onboard,7000000
Asus F570ZD Ryzen 5 2500u 8G 256G GTX 1050 4G,Asus,Ryzen 5,8,256,NVIDIA Card Rời,6900000
"Laptop i5-6300U, Ram 4G,SSD 128G, Win10 giá tốt",Khác,Core i5,4,128,Onboard,2500000
Lenovo ThinkPad P51 i7-7700HQ 15.6 inch 8GB/256GB,Lenovo,Core i7,8,256,Onboard,7700000
"Dell Latitude 3520 Core i3-1115G4, 8GB, 256GB- Đẹp",Dell,Core i3,8,256,Onboard,5500000
Dell V3400 i7 1165G7 8G 512G MX330 2G,Dell,Core i7,8,512,Onboard,8500000
Acer Nitro i5-11th Gen/8GB/512GB RTX 3050,Acer,Core i5,8,512,NVIDIA Card Rời,9600000
Asus Zephyrus G15 Ryzen 9 15.6 inch 16GB/512GB,Asus,Ryzen 9,16,512,Onboard,16500000
Dell Inspiron 15-3567 i5-7200U/8GB/128GB+500Gb/2Gb,Dell,Core i5,8,128,Onboard,4000000
MSI GF63 12UC i5-12450H 15.6 inch 8GB/512GB,Msi,Core i5,8,512,Onboard,12200000
Dell Latitude 7320 i7 1165G7 16G/256GB 13.3” touch,Dell,Core i7,16,256,Onboard,7900000
Asus Vivobook 16 i5 Gen 13 16GB/512GB,Asus,Core i5,16,512,Onboard,9800000
Apple Macbook Air M2 16GB/256GB Midnight,Apple,Apple M-Series,16,256,Apple GPU,16800000
Dell Inspiron 5570 i5-8250U 15.6 inch 8GB/256GB,Dell,Core i5,8,256,Onboard,4400000
HP Probook 430G6 i5-8265U/8GB/128GB/3H,Hp,Core i5,8,128,Onboard,4900000
Dell Latitude 5310 i7-10610U 13.3 inch 8GB/256GB,Dell,Core i7,8,256,Onboard,7000000
"HP Pro X2 612 G2 i5 7Y54/8G/256G/12"" FHD+",Hp,Core i5,8,256,Onboard,2800000
"Dell E5400 i5-8365U 14 , 8GB, ssd 256GB, màn 14FHD",Dell,Core i5,8,256,Onboard,4700000
Asus Vivobook X1503 Ryzen 5-5600H 8GB/512GB Oled,Asus,Ryzen 5,8,512,Onboard,8700000
HP 840 G9 i7 1265U 8GB DDR5 256GB NVMe like new,Hp,Core i7,8,256,Onboard,12000000
"Asus VivoBook X541UA Core i7-7500U, 8GB, 256GB- Rẻ",Asus,Core i7,8,256,Onboard,3900000
MSI Cyborg 15 i7-13620H 15.6 inch 16GB/512GB,Msi,Core i7,16,512,Onboard,20000000
Thinkpad L390 i5 13.3 inch 8GB/128GB/13.3  inch HD,Khác,Core i5,8,128,Onboard,3000000
Acer Swift SF314-56 i3-8145U 14 inch 8GB/128GB,Acer,Core i3,8,128,Onboard,2900000
Surface Pro 9 i7 16GB/512GB ít dùng,Surface,Core i7,16,512,Onboard,20500000
E pass Asus X415EA i3 1115G4 12GB/512GB mua TGDĐ,Asus,Core i3,12,512,Onboard,5500000
Surface Pro 8 i5 8GB/256GB Bạc và đen,Surface,Core i5,8,256,Onboard,13300000
MacBook Pro 2020 i5 13 inch 16GB/512GB,Apple,Core i5,16,512,Apple GPU,9499000
MacBook Air 2019 i5 13.3 inch 8GB/128GB,Apple,Core i5,8,128,Apple GPU,6900000
Lenovo i3-1115G4 15.6 inch 8GB/256GB,Lenovo,Core i3,8,256,Onboard,4500000
Apple Macbook Pro i5 13.3 inch 8GB/128GB,Apple,Core i5,8,128,Apple GPU,5600000
MacBook Air 13inch Chip M4 Ram 16Gb SSD 256Gb New,Apple,Apple M-Series,16,256,Apple GPU,22990000
